2026-04-21 08:56:26,241 [INFO] __main__: Mission Tag: emoji_interaction_off_2026-04-21_08-56-26
2026-04-21 08:56:26,241 [INFO] __main__: HTTP Config Server running on port 8000 serving ../Interaction/SFL
2026-04-21 08:56:26,247 [INFO] __main__: ZMQ Server Online at 192.168.1.233
2026-04-21 08:56:28,281 [INFO] __main__: Starting Dispatcher logic to match Vicon coordinates...
2026-04-21 08:56:28,282 [INFO] dispatcher: Connecting to Vicon scanner at 192.168.1.39 required 3 markers...
2026-04-21 08:56:28,295 [INFO] dispatcher.vicon_scanner: Connecting to Vicon at 192.168.1.39:801 ...
2026-04-21 08:56:28,382 [INFO] dispatcher.vicon_scanner: Vicon connected. Collecting frames ...
2026-04-21 08:56:29,797 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 43)
2026-04-21 08:56:29,807 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 44)
2026-04-21 08:56:29,816 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 45)
2026-04-21 08:56:29,827 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 46)
2026-04-21 08:56:29,837 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 47)
2026-04-21 08:56:29,847 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 48)
2026-04-21 08:56:29,857 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 49)
2026-04-21 08:56:29,867 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 50)
2026-04-21 08:56:29,876 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 51)
2026-04-21 08:56:29,887 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 52)
2026-04-21 08:56:29,897 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 53)
2026-04-21 08:56:29,907 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 54)
2026-04-21 08:56:29,917 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 55)
2026-04-21 08:56:29,927 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 56)
2026-04-21 08:56:29,937 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 57)
2026-04-21 08:56:29,947 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 58)
2026-04-21 08:56:29,957 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 59)
2026-04-21 08:56:29,966 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 60)
2026-04-21 08:56:29,979 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 61)
2026-04-21 08:56:29,986 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 62)
2026-04-21 08:56:29,997 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 63)
2026-04-21 08:56:30,008 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 64)
2026-04-21 08:56:30,018 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 65)
2026-04-21 08:56:30,027 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 66)
2026-04-21 08:56:30,037 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 67)
2026-04-21 08:56:30,047 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 68)
2026-04-21 08:56:30,057 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 69)
2026-04-21 08:56:30,067 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 70)
2026-04-21 08:56:30,077 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 71)
2026-04-21 08:56:30,087 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 72)
2026-04-21 08:56:30,097 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 73)
2026-04-21 08:56:30,107 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 74)
2026-04-21 08:56:30,119 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 75)
2026-04-21 08:56:30,127 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 76)
2026-04-21 08:56:30,138 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 77)
2026-04-21 08:56:30,147 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 78)
2026-04-21 08:56:30,157 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 79)
2026-04-21 08:56:30,167 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 80)
2026-04-21 08:56:30,177 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 81)
2026-04-21 08:56:30,187 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 82)
2026-04-21 08:56:30,197 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 83)
2026-04-21 08:56:30,207 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 84)
2026-04-21 08:56:30,217 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 85)
2026-04-21 08:56:30,226 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 86)
2026-04-21 08:56:30,236 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 87)
2026-04-21 08:56:30,246 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 88)
2026-04-21 08:56:30,257 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 89)
2026-04-21 08:56:30,267 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 90)
2026-04-21 08:56:30,277 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 91)
2026-04-21 08:56:30,287 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 92)
2026-04-21 08:56:30,297 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 93)
2026-04-21 08:56:30,307 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 94)
2026-04-21 08:56:30,317 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 95)
2026-04-21 08:56:30,329 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 96)
2026-04-21 08:56:30,337 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 97)
2026-04-21 08:56:30,347 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 98)
2026-04-21 08:56:30,357 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 99)
2026-04-21 08:56:30,367 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 100)
2026-04-21 08:56:30,376 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 101)
2026-04-21 08:56:30,387 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 102)
2026-04-21 08:56:30,397 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 103)
2026-04-21 08:56:30,407 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 104)
2026-04-21 08:56:30,417 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 105)
2026-04-21 08:56:30,428 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 106)
2026-04-21 08:56:30,437 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 107)
2026-04-21 08:56:30,447 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 108)
2026-04-21 08:56:30,457 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 109)
2026-04-21 08:56:30,467 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 110)
2026-04-21 08:56:30,477 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 111)
2026-04-21 08:56:30,487 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 112)
2026-04-21 08:56:30,497 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 113)
2026-04-21 08:56:30,507 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 114)
2026-04-21 08:56:30,517 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 115)
2026-04-21 08:56:30,528 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 116)
2026-04-21 08:56:30,537 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 117)
2026-04-21 08:56:30,547 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 118)
2026-04-21 08:56:30,557 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 119)
2026-04-21 08:56:30,567 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 120)
2026-04-21 08:56:30,577 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 121)
2026-04-21 08:56:30,587 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 122)
2026-04-21 08:56:30,597 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 123)
2026-04-21 08:56:30,606 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 124)
2026-04-21 08:56:30,617 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 125)
2026-04-21 08:56:30,627 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 126)
2026-04-21 08:56:30,636 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 127)
2026-04-21 08:56:30,646 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 128)
2026-04-21 08:56:30,656 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 129)
2026-04-21 08:56:30,666 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 130)
